impl,layers,batch,activation,time_ms,gflops,max_abs_diff
baseline,"512, 512, 512",64,gelu,0.07,995.23,8.392334e-05
activation_fused,"512, 512, 512",64,gelu,0.06,1076.57,8.392334e-05
baseline,"512, 512, 512",128,gelu,0.08,1731.47,1.069307e-04
activation_fused,"512, 512, 512",128,gelu,0.06,2088.13,1.069307e-04
baseline,"512, 512, 512",256,gelu,0.10,2678.77,1.182556e-04
activation_fused,"512, 512, 512",256,gelu,0.09,3012.98,1.182556e-04
baseline,"512, 512, 512",512,gelu,0.13,4130.04,8.583069e-05
activation_fused,"512, 512, 512",512,gelu,0.13,4151.13,8.583069e-05
baseline,"1024, 2048, 1024",64,gelu,0.34,1562.19,4.768372e-04
activation_fused,"1024, 2048, 1024",64,gelu,0.34,1597.44,4.768372e-04
baseline,"1024, 2048, 1024",128,gelu,0.22,4876.42,5.111694e-04
activation_fused,"1024, 2048, 1024",128,gelu,0.21,5168.71,5.111694e-04
baseline,"1024, 2048, 1024",256,gelu,0.35,6083.73,6.294250e-04
activation_fused,"1024, 2048, 1024",256,gelu,0.31,6891.39,6.294250e-04
baseline,"1024, 2048, 1024",512,gelu,0.46,9358.94,6.294250e-04
activation_fused,"1024, 2048, 1024",512,gelu,0.36,11856.02,6.294250e-04
baseline,"2048, 2048, 2048",64,gelu,0.19,5744.52,3.967285e-04
activation_fused,"2048, 2048, 2048",64,gelu,0.18,5985.19,3.967285e-04
baseline,"2048, 2048, 2048",128,gelu,0.33,6430.02,8.697510e-04
activation_fused,"2048, 2048, 2048",128,gelu,0.32,6811.26,8.697510e-04
baseline,"2048, 2048, 2048",256,gelu,0.36,12021.51,1.083374e-03
activation_fused,"2048, 2048, 2048",256,gelu,0.43,10046.00,1.083374e-03
baseline,"2048, 2048, 2048",512,gelu,0.56,15203.78,1.083374e-03
activation_fused,"2048, 2048, 2048",512,gelu,0.55,15561.98,1.083374e-03
