impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
naive,256,256,16,32,3,1,1,0.68,893.67
tiled,256,256,16,32,3,1,1,0.56,1088.24
naive,256,256,16,64,3,1,1,1.16,1043.94
tiled,256,256,16,64,3,1,1,0.97,1243.04
naive,256,256,16,128,3,1,1,2.18,1108.69
tiled,256,256,16,128,3,1,1,1.81,1333.69
naive,256,256,32,32,3,1,1,1.16,1042.09
tiled,256,256,32,32,3,1,1,0.99,1221.17
naive,256,256,32,64,3,1,1,2.17,1111.30
tiled,256,256,32,64,3,1,1,1.81,1333.69
naive,256,256,32,128,3,1,1,4.19,1154.54
tiled,256,256,32,128,3,1,1,3.48,1387.82
naive,256,256,64,32,3,1,1,2.20,1097.86
tiled,256,256,64,32,3,1,1,1.81,1332.94
naive,256,256,64,64,3,1,1,4.21,1148.08
tiled,256,256,64,64,3,1,1,3.47,1391.92
naive,256,256,64,128,3,1,1,8.33,1160.64
tiled,256,256,64,128,3,1,1,6.76,1428.58
naive,512,512,16,32,3,1,1,2.18,1107.13
tiled,512,512,16,32,3,1,1,1.91,1267.08
naive,512,512,16,64,3,1,1,4.20,1151.44
tiled,512,512,16,64,3,1,1,3.43,1407.27
naive,512,512,16,128,3,1,1,8.18,1181.27
tiled,512,512,16,128,3,1,1,6.70,1441.45
naive,512,512,32,32,3,1,1,4.93,980.38
tiled,512,512,32,32,3,1,1,3.53,1368.50
naive,512,512,32,64,3,1,1,9.68,998.43
tiled,512,512,32,64,3,1,1,6.88,1404.97
naive,512,512,32,128,3,1,1,19.11,1011.16
tiled,512,512,32,128,3,1,1,13.58,1423.19
naive,512,512,64,32,3,1,1,9.79,987.26
tiled,512,512,64,32,3,1,1,6.94,1392.12
naive,512,512,64,64,3,1,1,19.32,1000.60
tiled,512,512,64,64,3,1,1,13.66,1415.08
naive,512,512,64,128,3,1,1,38.33,1008.60
tiled,512,512,64,128,3,1,1,27.10,1426.63
naive,1024,1024,16,32,3,1,1,9.64,1002.46
tiled,1024,1024,16,32,3,1,1,6.84,1412.33
naive,1024,1024,16,64,3,1,1,19.03,1015.52
tiled,1024,1024,16,64,3,1,1,13.43,1439.14
naive,1024,1024,16,128,3,1,1,37.96,1018.31
tiled,1024,1024,16,128,3,1,1,26.80,1442.44
naive,1024,1024,32,32,3,1,1,19.40,996.38
tiled,1024,1024,32,32,3,1,1,13.62,1419.13
naive,1024,1024,32,64,3,1,1,38.55,1002.65
tiled,1024,1024,32,64,3,1,1,26.95,1434.28
naive,1024,1024,32,128,3,1,1,76.93,1004.98
tiled,1024,1024,32,128,3,1,1,53.72,1439.06
naive,1024,1024,64,32,3,1,1,38.82,995.85
tiled,1024,1024,64,32,3,1,1,27.02,1430.80
naive,1024,1024,64,64,3,1,1,77.30,1000.07
tiled,1024,1024,64,64,3,1,1,53.81,1436.76
naive,1024,1024,64,128,3,1,1,154.42,1001.30
tiled,1024,1024,64,128,3,1,1,108.34,1427.20
